run_dir,experiment_name,family,dataset,n_samples,k,seed_dataset,generation_seed,fc_enabled,fc_lower_percentile,fc_upper_percentile,mean_clip_fraction,auroc,aurc,pcc,num_correct,num_incorrect,input_json
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42.0,False,,,,0.8452380952380952,0.1806607459851206,-0.6040010347262385,58.0,42.0,
baseline_qa820_n100_k10_ds42_gs42,baseline_qa820_n100_k10_ds42_gs42,baseline,qa820,100.0,10,42,42.0,False,,,,0.8590326581231914,0.16541622396501135,-0.5823365838336726,59.0,41.0,
baseline_qa820_n100_k20_ds42_gs41,baseline_qa820_n100_k20_ds42_gs41,baseline,qa820,100.0,20,42,41.0,False,,,,0.8385876418663304,0.16538325187770064,-0.5309551713809002,61.0,39.0,
baseline_qa820_n100_k20_ds42_gs42,baseline_qa820_n100_k20_ds42_gs42,baseline,qa820,100.0,20,42,42.0,False,,,,0.874384236453202,0.16566488620296074,-0.6216062252408828,58.0,42.0,
baseline_qa820_n100_k20_ds42_gs43,baseline_qa820_n100_k20_ds42_gs43,baseline,qa820,100.0,20,42,43.0,False,,,,0.8528317486564696,0.1698389587875862,-0.568302367981129,59.0,41.0,
baseline_qa820_n100_k20_ds42_gs41_42_43,baseline_qa820_n100_k20_ds42_gs41_42_43,baseline,qa820,100.0,20,42,,False,,,,,,,,,
baseline_qa820_n300_k20_ds42_gs41,baseline_qa820_n300_k20_ds42_gs41,baseline,qa820,300.0,20,42,41.0,False,,,,0.7925880809595203,0.18829154766528244,-0.46858021331023375,184.0,116.0,
baseline_qa820_n300_k20_ds42_gs42,baseline_qa820_n300_k20_ds42_gs42,baseline,qa820,300.0,20,42,42.0,False,,,,0.8207211782630778,0.1890343949004974,-0.5200836290424279,179.0,121.0,
baseline_qa820_n300_k20_ds42_gs43,baseline_qa820_n300_k20_ds42_gs43,baseline,qa820,300.0,20,42,43.0,False,,,,0.8149751335420888,0.20022830534754,-0.5210396011527645,178.0,122.0,
baseline_qa820_n300_k20_ds42_gs41_42_43,baseline_qa820_n300_k20_ds42_gs41_42_43,baseline,qa820,300.0,20,42,,False,,,,,,,,,
baseline_qa820_n500_k20_ds42_gs41,baseline_qa820_n500_k20_ds42_gs41,baseline,qa820,500.0,20,42,41.0,False,,,,0.8088590736447492,0.20116302937524527,-0.5051942864147412,291.0,209.0,
baseline_qa820_n500_k20_ds42_gs42,baseline_qa820_n500_k20_ds42_gs42,baseline,qa820,500.0,20,42,42.0,False,,,,0.8054898718478709,0.1970034838940334,-0.48694846363112204,295.0,205.0,
